model_name,track,pretrained_model,mtl,L1,component_order,batch_size,epochs,pred_head,layer_pool,token_pool,last_k_layer,num_heads,run
mbert-base_mtl_mlp_mha_1_open_xx_new,open,jhu-clsp/mmBERT-base,1,xx,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,mha,,1,new
mbert-base_mtl_mlp_mean_open_xx_new,open,jhu-clsp/mmBERT-base,1,xx,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,mean,,,new
mbert-base_mtl_mlp_cls_open_xx_new,open,jhu-clsp/mmBERT-base,1,xx,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,cls,,,new
mbert-base_mtl_mlp_ScalarMix_mha_last4_1_open_xx_new,open,jhu-clsp/mmBERT-base,1,xx,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,ScalarMix,mha,last4,1,new
mbert-base_mtl_mlp_Mean_mha_last4_1_open_xx_new,open,jhu-clsp/mmBERT-base,1,xx,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Mean,mha,last4,1,new
mbert-base_mtl_mlp_Max_mha_last4_1_open_xx_new,open,jhu-clsp/mmBERT-base,1,xx,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Max,mha,last4,1,new
baseline_open_xx,open,xlm-roberta-base,1,xx,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,cls,,,new
mbert-base_mtl_mlp_mha_1_closed_cn_new,closed,jhu-clsp/mmBERT-base,1,cn,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,mha,,1,new
mbert-base_mtl_mlp_mean_closed_cn_new,closed,jhu-clsp/mmBERT-base,1,cn,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,mean,,,new
mbert-base_mtl_mlp_cls_closed_cn_new,closed,jhu-clsp/mmBERT-base,1,cn,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,cls,,,new
mbert-base_mtl_mlp_ScalarMix_mha_last4_1_closed_cn_new,closed,jhu-clsp/mmBERT-base,1,cn,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,ScalarMix,mha,last4,1,new
mbert-base_mtl_mlp_Mean_mha_last4_1_closed_cn_new,closed,jhu-clsp/mmBERT-base,1,cn,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Mean,mha,last4,1,new
mbert-base_mtl_mlp_Max_mha_last4_1_closed_cn_new,closed,jhu-clsp/mmBERT-base,1,cn,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Max,mha,last4,1,new
mbert-base_mtl_mlp_mha_1_closed_de_new,closed,jhu-clsp/mmBERT-base,1,de,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,mha,,1,new
mbert-base_mtl_mlp_mean_closed_de_new,closed,jhu-clsp/mmBERT-base,1,de,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,mean,,,new
mbert-base_mtl_mlp_cls_closed_de_new,closed,jhu-clsp/mmBERT-base,1,de,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,cls,,,new
mbert-base_mtl_mlp_ScalarMix_mha_last4_1_closed_de_new,closed,jhu-clsp/mmBERT-base,1,de,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,ScalarMix,mha,last4,1,new
mbert-base_mtl_mlp_Mean_mha_last4_1_closed_de_new,closed,jhu-clsp/mmBERT-base,1,de,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Mean,mha,last4,1,new
mbert-base_mtl_mlp_Max_mha_last4_1_closed_de_new,closed,jhu-clsp/mmBERT-base,1,de,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Max,mha,last4,1,new
mbert-base_mtl_mlp_mha_1_closed_es_new,closed,jhu-clsp/mmBERT-base,1,es,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,mha,,1,new
mbert-base_mtl_mlp_mean_closed_es_new,closed,jhu-clsp/mmBERT-base,1,es,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,mean,,,new
mbert-base_mtl_mlp_cls_closed_es_new,closed,jhu-clsp/mmBERT-base,1,es,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,cls,,,new
mbert-base_mtl_mlp_ScalarMix_mha_last4_1_closed_es_new,closed,jhu-clsp/mmBERT-base,1,es,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,ScalarMix,mha,last4,1,new
mbert-base_mtl_mlp_Mean_mha_last4_1_closed_es_new,closed,jhu-clsp/mmBERT-base,1,es,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Mean,mha,last4,1,new
mbert-base_mtl_mlp_Max_mha_last4_1_closed_es_new,closed,jhu-clsp/mmBERT-base,1,es,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,Max,mha,last4,1,new
baseline_closed_cn,closed,xlm-roberta-base,1,cn,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,cls,,,new
baseline_closed_de,closed,xlm-roberta-base,1,de,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,cls,,,new
baseline_closed_es,closed,xlm-roberta-base,1,es,L1_source_word; L1_context; en_target_clue; en_target_word,64,5,mlp,,cls,,,new
